6181,New York,New York,Queens,NY
12447,Los Angeles,Los Angeles,Los Angeles,CA
17426,Chicago,Chicago,Cook,IL
39051,Houston,Houston,Harris,TX
13271,Philadelphia,Philadelphia,Philadelphia,PA
40326,Phoenix,Phoenix,Maricopa,AZ
18959,Las Vegas,Las Vegas,Clark,NV
6915,San Antonio,San Antonio,Bexar,TX
54296,San Diego,San Diego,San Diego,CA
38128,Dallas,Dallas-Fort Worth,Dallas,TX
33839,San Jose,San Jose,Santa Clara,CA
25290,Jacksonville,Jacksonville,Duval,FL
20330,San Francisco,San Francisco,San Francisco,CA
32149,Indianapolis,Indianapolis,Marion,IN
10221,Austin,Austin,Travis,TX
18172,Fort Worth,Dallas-Fort Worth,Tarrant,TX
17762,Detroit,Detroit,Wayne,MI
10920,Columbus,Columbus,Franklin,OH
32811,Memphis,Memphis,Shelby,TN
24043,Charlotte,Charlotte,Mecklenburg,NC
17933,El Paso,El Paso,El Paso,TX
44269,Boston,Boston,Suffolk,MA
16037,Seattle,Seattle,King,WA
3523,Baltimore,Baltimore,Baltimore City,MD
11093,Denver,Denver,Denver,CO
41568,Washington,Washington,District of Columbia,DC
6118,Nashville,Nashville,Davidson,TN
5976,Milwaukee,Milwaukee,Milwaukee,WI
7481,Tucson,Tucson,Pima,AZ
13373,Portland,Portland,Multnomah,OR
33225,Oklahoma City,Oklahoma City,Oklahoma,OK
40152,Omaha,Omaha,Douglas,NE
23429,Albuquerque,Albuquerque,Bernalillo,NM
18203,Fresno,Fresno,Fresno,CA
20288,Sacramento,Sacramento,Sacramento,CA
19331,Mesa,Phoenix,Maricopa,AZ
46298,Long Beach,Los Angeles,Los Angeles,CA
18795,Kansas City,Kansas City,Jackson,MO
41515,Virginia Beach,Virginia Beach,Virginia Beach City,VA
4172,Colorado Springs,Colorado Springs,El Paso,CO
37211,Atlanta,Atlanta,Fulton,GA
12700,Miami,Miami-Fort Lauderdale,Miami-Dade,FL
13072,Oakland,San Francisco,Alameda,CA
20859,Tulsa,Tulsa,Tulsa,OK
24115,Cleveland,Cleveland,Cuyahoga,OH
18615,Honolulu,Urban Honolulu,Honolulu,HI
5983,Minneapolis,Minneapolis-St Paul,Hennepin,MN
44055,Baton Rouge,Baton Rouge,East Baton Rouge,LA
19594,New Orleans,New Orleans,Orleans,LA
50763,Arlington,Dallas-Fort Worth,Tarrant,TX
54047,Raleigh,Raleigh,Wake,NC
7929,Wichita,Wichita,Sedgwick,KS
41176,Tampa,Tampa,Hillsborough,FL
16764,Anaheim,Los Angeles,Orange,CA
47568,Santa Ana,Los Angeles,Orange,CA
16846,Aurora,Denver,Arapahoe,CO
6891,Saint Louis,St. Louis,Saint Louis City,MO
38025,Corpus Christi,Corpus Christi,Nueces,TX
4099,Cincinnati,Cincinnati,Hamilton,OH
26529,Pittsburgh,Pittsburgh,Allegheny,PA
47401,Riverside,Riverside,Riverside,CA
12562,Marietta,Atlanta,Cobb,GA
23482,Anchorage,Anchorage,Anchorage,AK
3506,Bakersfield,Bakersfield,Kern,CA
20313,Saint Paul,Minneapolis-St Paul,Ramsey,MN
34303,Toledo,Toledo,Lucas,OH
7081,Silver Spring,Washington,Montgomery,MD
25574,Lexington,Lexington,Fayette,KY
12970,Newark,New York,Essex,NJ
47945,Tallahassee,Tallahassee,Leon,FL
7266,Stockton,Stockton,San Joaquin,CA
53915,Plano,Dallas-Fort Worth,Collin,TX
17222,Buffalo,Buffalo,Erie,NY
17384,Chandler,Phoenix,Maricopa,AZ
12455,Louisville,Louisville,Jefferson,KY
11867,Henderson,Las Vegas,Clark,NV
25934,Modesto,Modesto,Stanislaus,CA
32900,Mobile,Mobile,Mobile,AL
25320,Jersey City,New York,Hudson,NJ
53060,Lubbock,Lubbock,Lubbock,TX
18298,Glendale,Phoenix,Maricopa,AZ
24457,Durham,Durham,Durham,NC
13121,Orlando,Orlando,Orange,FL
6210,Norfolk,Virginia Beach,Norfolk City,VA
26922,Saint Petersburg,Tampa,Pinellas,FL
53856,Pensacola,Pensacola,Escambia,FL
18170,Fort Wayne,Fort Wayne,Allen,IN
11722,Greensboro,,Guilford,NC
32503,Lincoln,Lincoln,Lancaster,NE
20328,San Bernardino,Riverside,San Bernardino,CA
24225,Corona,Riverside,Riverside,CA
51405,Chula Vista,San Diego,San Diego,CA
44564,Chesapeake,Virginia Beach,Chesapeake City,VA
25104,Hialeah,Miami-Fort Lauderdale,Miami-Dade,FL
398849,Madison,Madison,Dane,WI
18251,Garland,Dallas-Fort Worth,Dallas,TX
24741,Fontana,Riverside,San Bernardino,CA
31614,Fort Myers,Fort Myers,Lee,FL
25428,Knoxville,Knoxville,Knox,TN
52893,Laredo,Laredo,Webb,TX
26187,North Las Vegas,Las Vegas,Clark,NV
5573,Lawrenceville,Atlanta,Gwinnett,GA
11540,Fremont,San Francisco,Alameda,CA
52001,Fayetteville,Fayetteville,Cumberland,NC
